2024-07-26 18:41:17.941 INFO     Starting Connection Manager
2024-07-26 18:41:17.941 INFO     Initiating connection to Decoder on behalf of 
2024-07-26 18:41:17.941 INFO     Connected to Decoder server on port 5002 for 
2024-07-26 18:41:17.941 INFO     Connection Manager Running
2024-07-26 18:41:17.941 INFO     Message Coordinator Started
2024-07-26 18:41:28.866 INFO     [1;36mDECODED 51:[0m B0Response(type='RESPONSE', command='51', cmd_name='ASK_ME', params='', page=255, length=8, data=B0DecodedData(data=['18', '24', '4b']), checksum='b6', verified=True)
2024-07-26 18:41:47.125 INFO     [1;36mDECODED 4b:[0m B0Response(type='RESPONSE', command='4b', cmd_name='ZONE_LAST_EVENT', params='', page=255, length=155, data=B0DecodedData(data={1: {'datetime': '2024-07-26 18:24:15', 'code': 'CHECKIN'}, 2: {'datetime': '2024-07-26 18:40:55', 'code': 'OPEN'}, 3: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 4: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 5: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 6: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 7: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 8: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 9: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 10: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 11: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 12: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 13: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 14: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 15: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 16: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 17: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 18: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 19: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 20: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 21: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 22: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 23: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 24: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 25: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 26: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 27: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 28: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 29: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 30: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}}), checksum='48', verified=True)

2024-07-26 18:41:47.341 INFO     [1;36mDECODED 54:[0m B0Response(type='RESPONSE', command='54', cmd_name='UNKNOWN', params='', page=255, length=14, data=B0GenDecodedData(data=[{'type': 'WORD72', 'idx': 255, 'idx_name': 'NA', 'len': 9, 'data': ['03 2d 01 00 01 14 00 16 03']}], length=14), checksum='80', verified=True)

2024-07-26 18:41:52.867 INFO     [1;36mDECODED 51:[0m B0Response(type='RESPONSE', command='51', cmd_name='ASK_ME', params='', page=255, length=8, data=B0DecodedData(data=['18', '24', '4b']), checksum='a2', verified=True)

2024-07-26 18:41:57.719 INFO     [1;36mDECODED 24:[0m B0Response(type='RESPONSE', command='24', cmd_name='PANEL_STATUS', params='', page=255, length=26, data=B0DecodedData(data={'datetime': '2024-07-26 18:41:11', 'partitions': 1, 'states': {1: {'State': 'DISARM', 'Ready': True, 'Alarm in Memory': False, 'Trouble': False, 'Bypass': False, 'Last 10 Secs': False, 'Zone Event': False, 'Status Changed': False, 'Alarm Event': True}}}), checksum='12', verified=True)

2024-07-26 18:41:58.029 INFO     [1;36mDECODED 4b:[0m B0Response(type='RESPONSE', command='4b', cmd_name='ZONE_LAST_EVENT', params='', page=255, length=155, data=B0DecodedData(data={1: {'datetime': '2024-07-26 18:24:15', 'code': 'CHECKIN'}, 2: {'datetime': '2024-07-26 18:41:06', 'code': 'CLOSED'}, 3: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 4: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 5: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 6: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 7: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 8: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 9: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 10: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 11: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 12: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 13: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 14: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 15: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 16: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 17: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 18: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 19: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 20: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 21: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 22: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 23: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 24: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 25: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 26: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 27: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 28: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 29: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}, 30: {'datetime': '2000-01-01 12:00:01', 'code': 'NA'}}), checksum='32', verified=True)

2024-07-26 18:41:58.228 INFO     [1;36mDECODED 54:[0m B0Response(type='RESPONSE', command='54', cmd_name='UNKNOWN', params='', page=255, length=5, data=B0GenDecodedData(data=[], length=5), checksum='e7', verified=True)

